COLL_STOP,XE-131M,XE-133M,XE-133,XE-135,,
14/11/2007 05:29,-0.035458592,-0.009074602,0.065613935,0.186091305,,
14/11/2007 17:29,0.006530936,0.014763847,0.067845985,0.311301221,,
15/11/2007 05:29,0.047142443,0.042488248,-0.051979597,-0.121676365,,
15/11/2007 17:29,-0.002841794,0.009097957,0.048000532,0.157184495,,
16/11/2007 05:29,0.066611281,0.000430898,0.036040597,0.007615789,,
16/11/2007 17:29,0.069534135,0.005394893,0.062156704,0.015206338,,
17/11/2007 05:29,0.063034667,0.036074555,0.062302444,-0.072657705,,
17/11/2007 17:29,0.045710603,-0.001960324,0.01214045,-0.032937132,,
18/11/2007 05:29,0.033725117,0.037945266,0.029569272,-0.056070369,,
18/11/2007 17:29,0.032916821,0.003608921,0.173877821,0.07911483,,
19/11/2007 05:29,0.006563112,0.033563386,0.057657813,0.020796126,,
19/11/2007 17:29,0.014246434,-0.001130864,0.068178229,-0.030626189,,
20/11/2007 05:29,0.066440061,0.020899926,0.152415041,-0.068558745,,
20/11/2007 17:29,0.001985447,-0.031166459,0.094611752,-0.026740029,,
21/11/2007 17:29,0.015915407,-0.019043615,0.048697385,0.076969371,,
22/11/2007 05:29,0.048596854,0.016375908,0.12625708,0.0035861,,
22/11/2007 17:29,0.024547429,0.019831005,0.070193393,-0.332934363,,
23/11/2007 05:29,0.091233847,0.017295828,0.05903041,0.021426336,,
23/11/2007 17:29,0.020673729,0.020924873,0.123971876,0.097493848,,
24/11/2007 05:29,0.062407101,-0.009018053,0.045222966,-0.11120625,,
24/11/2007 17:29,0.080946492,0.025022922,-0.029977446,0.133282974,,
25/11/2007 05:29,0.065943943,0.012910264,0.081289517,0.052902776,,
25/11/2007 17:29,0.040896659,-0.001923547,0.042653072,0.130769885,,
26/11/2007 05:29,-0.012076309,-0.028503806,0.145883423,0.007518245,,
26/11/2007 17:29,-0.029352883,-0.031248577,0.027634201,-0.044999521,,
27/11/2007 05:29,0.068543731,-0.009721703,0.086209998,0.095177524,,
27/11/2007 17:29,0.03560576,-0.033226181,0.105644341,0.118499076,,
28/11/2007 05:29,0.034095149,-0.027947711,0.181891997,0.053084881,,
28/11/2007 17:29,0.032615105,-0.016662702,0.376396993,0.169270634,,
29/11/2007 17:29,0.062611569,-0.014395794,0.434972409,0.127758855,,
30/11/2007 05:29,0.037963899,0.026741011,0.496655615,-0.01045352,,
30/11/2007 17:29,0.004880134,-0.033915477,0.343613631,-0.224825407,,
01/12/2007 05:29,0.046452829,-0.017850155,0.390091271,0.083959609,,
01/12/2007 17:29,0.030463504,-0.002847206,0.245479485,0.065608458,,
02/12/2007 05:29,0.166013665,0.000784905,0.180782553,-0.103109512,,
02/12/2007 17:29,0.038209037,0.00576068,0.20789476,-0.040768205,,
03/12/2007 05:29,-0.021625955,-0.037642064,0.232704298,0.332417322,,
03/12/2007 17:29,0.010514419,-0.040142951,0.225733203,-0.011588555,,
04/12/2007 05:29,0.007827573,0.004487442,0.115521766,-0.183200469,,
04/12/2007 17:29,0.02086783,-0.002136945,0.193889911,0.068585426,,
05/12/2007 05:29,0.037246401,-0.034742777,0.163262213,0.05906993,,
05/12/2007 17:29,0.003970809,0.012157053,0.183773675,0.086645083,,
06/12/2007 05:29,0.10114477,-0.031998588,0.119019765,0.020005814,,
06/12/2007 17:29,0.018472433,-0.007548301,0.141996348,-0.015220594,,
07/12/2007 05:29,0.067182353,-0.002568041,-0.007458948,-0.186360944,,
07/12/2007 17:29,0.005911479,-0.011049631,0.173728916,0.245859379,,
08/12/2007 05:29,0.052900843,0.007970916,0.041577491,-0.003084336,,
08/12/2007 17:29,0.068912133,0.00124137,0.068357164,0.380470547,,
09/12/2007 05:29,0.046834786,0.003198591,0.062327486,0.014040702,,
09/12/2007 17:29,0.047829053,-0.013815965,0.100121857,-0.043219815,,
10/12/2007 05:29,0.146804854,0.014452456,-0.006354941,0.042557949,,
10/12/2007 17:29,0.014113141,-0.00287418,0.093559704,0.101621408,,
11/12/2007 05:29,0.048267856,0.003255977,0.056583825,-0.103825622,,
12/12/2007 06:08,0.036777165,-0.007051531,0.106968681,-0.044398336,,
12/12/2007 18:08,0.010567913,0.003221155,0.010337134,0.035128712,,
13/12/2007 06:08,0.044584312,0.028159476,0.012614437,-0.163524794,,
13/12/2007 18:08,0.017907779,-0.014460443,0.129042301,0.162486191,,
14/12/2007 06:08,0.006953687,-0.020438798,0.035854004,-0.0257822,,
14/12/2007 18:08,0.04345652,0.019890028,-0.089934947,-0.163343115,,
15/12/2007 06:08,0.044037398,-0.015340756,0.05161634,-0.019489108,,
15/12/2007 18:08,0.042852226,-0.02039492,-0.034786469,-0.123457361,,
16/12/2007 06:08,-0.001580564,-0.005302684,0.032234452,0.151715249,,
16/12/2007 18:08,-0.018653399,-0.017549652,-0.041194556,-0.117980366,,
17/12/2007 06:08,0.0770069,-0.007943906,0.042513932,0.026948174,,
17/12/2007 18:08,0.088867965,0.046573324,-0.031222172,0.137038977,,
18/12/2007 06:08,0.124287226,-0.003078974,0.012959047,-0.093155608,,
18/12/2007 18:08,-0.004064801,-0.015548191,0.030890116,0.122663012,,
19/12/2007 06:08,-0.002861539,-0.005513904,0.156887996,0.254613694,,
19/12/2007 18:08,0.024339855,0.002915871,0.13981438,-0.036584485,,
20/12/2007 06:08,0.04095765,0.028899247,0.077358962,0.083188075,,
21/12/2007 06:08,0.082151497,0.008805491,0.027258421,-0.002900255,,
21/12/2007 18:08,-0.019759076,0.002756078,0.137689838,0.155421357,,
22/12/2007 06:08,0.064419797,-0.032456565,0.116226172,0.122273245,,
22/12/2007 18:08,-0.014087231,-0.005752221,0.128914763,-0.137092665,,
23/12/2007 06:08,0.011026698,0.003543006,-0.036329345,-0.275080657,,
23/12/2007 18:08,0.005783117,-0.08581077,-0.181806345,0.534103859,,
24/12/2007 06:08,-0.024440966,-0.028666629,0.150486059,0.334236272,,
24/12/2007 18:08,0.034424394,0.009366543,0.091282507,-0.098275306,,
25/12/2007 06:08,-0.004820223,0.034865907,0.182427151,-0.142572158,,
26/12/2007 06:08,0.036831618,0.022532629,0.095030227,-0.181180584,,
26/12/2007 18:08,0.026966992,-0.033677044,0.05183749,0.126357242,,
27/12/2007 06:08,0.082443785,-0.00321837,0.086892383,-0.031329006,,
27/12/2007 18:08,0.04176528,-0.011840043,0.06089446,0.204648333,,
28/12/2007 06:08,0.089926991,0.016206858,0.032087764,-0.056279005,,
28/12/2007 18:08,0.045791625,-0.005642195,0.033240133,-0.086107201,,
29/12/2007 06:08,-0.006084014,-0.041702394,0.179246677,-0.184107976,,
29/12/2007 18:08,-0.02700181,-0.039533152,0.216315672,0.102660911,,
30/12/2007 06:08,0.015118448,0.011661729,0.102734155,-0.148437281,,
30/12/2007 18:08,0.038238168,0.024230193,0.063102497,-0.122765567,,
31/12/2007 06:08,0.011510789,-0.023495571,0.167823542,0.026232395,,
31/12/2007 18:08,0.027586091,0.000628217,0.221611233,0.02604495,,
01/01/2008 06:08,0.022716935,0.021502292,0.243111784,-0.05249188,,
01/01/2008 18:08,-0.021040089,-0.028706426,0.151418243,0.049340998,,
02/01/2008 06:08,-0.015942301,-0.029923817,0.447266688,0.299620004,,
02/01/2008 18:08,0.027093357,0.070864479,0.484368934,0.005375515,,
03/01/2008 06:08,0.007937364,-0.048157417,0.694841513,0.316583829,,
04/01/2008 18:08,0.039735012,-0.051418199,0.446540022,-0.090758207,,
05/01/2008 06:08,0.168280539,-0.00214526,0.430459115,0.003720178,,
05/01/2008 18:08,0.0855282,-0.003698361,0.537983687,0.066716999,,
06/01/2008 06:08,0.113841513,0.066962277,0.446992989,-0.15731588,,
06/01/2008 18:08,0.060489336,0.002012606,0.202402256,-0.030571103,,
07/01/2008 06:08,0.207493595,0.018143323,0.216327714,0.001697131,,
07/01/2008 18:08,0.085635227,-0.01470298,0.134829212,0.349381436,,
08/01/2008 06:08,0.125208687,0.006258138,0.155970969,0.111568625,,
08/01/2008 18:08,0.08713871,0.0381081,0.046798891,0.021736531,,
09/01/2008 06:08,0.055634316,-0.030663677,0.122328892,0.189787133,,
09/01/2008 18:04,0.022965233,0.020043143,0.05684903,0.047493862,,
10/01/2008 06:04,0.046678231,0.031016204,0.126761892,-0.151072008,,
10/01/2008 18:04,0.027986899,-0.008945244,0.184133842,-0.249085615,,
11/01/2008 06:04,0.038357055,-0.005303748,0.193386398,0.018520815,,
11/01/2008 18:04,0.02583437,0.017585826,0.105359226,-0.044620662,,
12/01/2008 06:04,0.034235063,-0.006108528,0.126175812,0.139004367,,
12/01/2008 18:04,0.049728854,-0.013409845,0.014883977,0.133323128,,
13/01/2008 06:04,-0.034576596,0.004886215,0.145444212,-0.076113694,,
13/01/2008 18:04,0.006393027,-0.022455102,0.208253114,0.080138305,,
14/01/2008 18:04,0.013592706,0.025510056,0.165688632,0.049167199,,
15/01/2008 06:04,-0.002271354,-0.020290121,0.107242646,-0.14796962,,
15/01/2008 18:04,0.006607348,0.014645521,0.120324987,-0.007620562,,
16/01/2008 06:04,0.003698805,-0.01003105,0.134417861,0.250321946,,
16/01/2008 18:04,0.018626324,0.006699615,0.017114677,-0.085155705,,
17/01/2008 06:04,0.065129278,0.030481014,0.120096922,-0.297341873,,
17/01/2008 18:04,0.045787657,0.010390228,0.056089216,0.203333066,,
18/01/2008 06:04,0.154759775,0.011135806,0.118105368,0.067195263,,
18/01/2008 18:04,0.036148391,0.009418809,0.092346867,0.257174754,,
19/01/2008 06:04,0.041647024,-0.026884812,0.173599304,0.316500107,,
19/01/2008 18:04,0.059834215,-0.025976237,0.133565515,0.019187688,,
20/01/2008 06:04,0.154178991,-0.009351332,0.047878172,-0.142214512,,
20/01/2008 18:04,0.02714541,-0.037731641,0.052321459,0.068981695,,
21/01/2008 06:04,0.059744082,0.002496307,0.070387401,0.015504404,,
21/01/2008 18:04,0.043227198,0.015844432,0.05322533,0.115104781,,
22/01/2008 06:04,0.068299977,0.033954654,-0.057851552,-0.185854709,,
22/01/2008 18:04,0.058251496,-0.027161568,0.072884475,-0.11571265,,
23/01/2008 06:04,0.039725232,0.007147203,0.076132012,0.295762786,,
23/01/2008 18:04,-0.000431093,0.001370173,-0.021940218,0.024707204,,
24/01/2008 06:04,-0.008336718,0.014532054,0.061346798,0.056825071,,
24/01/2008 18:04,0.034564035,0.051481222,0.057113273,0.083302693,,
25/01/2008 06:04,0.016895406,0.034547733,0.038914123,-0.0189194,,
25/01/2008 18:04,0.022549727,-0.013724703,0.037775618,-0.067867957,,
26/01/2008 06:04,-0.026442734,-0.035056327,0.006394602,-0.085418974,,
26/01/2008 18:04,0.030983738,-0.006234391,0.021124197,0.085240945,,
27/01/2008 06:04,0.018901487,-0.018783226,0.073915995,-0.029240392,,
27/01/2008 18:04,0.046042349,-0.029417181,-0.050817249,0.364116014,,
28/01/2008 06:04,0.18986897,0.013701319,0.028316204,0.070220783,,
28/01/2008 18:04,0.014920075,-0.022274304,0.050361486,0.092480171,,
29/01/2008 06:04,0.198475386,0.018996252,0.08808317,0.236739154,,
29/01/2008 18:04,0.040132395,0.007159613,0.127476146,0.129053898,,
30/01/2008 06:04,0.067461646,0.046343957,0.066370181,-0.116847598,,
30/01/2008 18:04,-0.015658054,-0.04076138,0.070674015,0.125903312,,
31/01/2008 06:04,0.015950014,0.005606451,0.168945487,0.081984471,,
31/01/2008 18:04,0.023087567,0.03290266,0.119119286,-0.038790729,,
01/02/2008 06:04,0.061931096,0.013062885,0.152867873,-0.013413895,,
01/02/2008 18:04,0.01467486,0.049591775,0.062218145,-0.06207383,,
02/02/2008 06:04,0.077239873,0.01946835,0.136412718,0.132231069,,
03/02/2008 06:04,0.053618998,-0.037320645,0.242549312,0.04845723,,
03/02/2008 18:04,0.057721803,0.073701205,0.086916915,0.114419148,,
04/02/2008 06:04,0.037860608,0.005644422,0.15626904,0.020613854,,
04/02/2008 18:04,0.03834789,0.061000337,0.081779428,0.014095003,,
05/02/2008 18:04,0.00600463,-0.019396845,0.121205961,0.121376227,,
06/02/2008 06:04,0.018335566,0.023409857,0.166064076,0.053191352,,
06/02/2008 18:04,0.040414236,-0.066758079,0.190399261,0.103467034,,
07/02/2008 06:04,-0.005961166,0.004503492,0.108769227,0.123933488,,
07/02/2008 18:04,0.016901364,-0.019397747,0.043307422,0.108346598,,
08/02/2008 06:04,0.018951176,-0.005564985,0.136223113,-0.018249248,,
08/02/2008 18:04,-0.013512924,0.008931595,0.129979617,-0.086719192,,
09/02/2008 06:04,0.006498123,-0.013016565,0.100531537,0.248723312,,
09/02/2008 18:04,0.022422549,0.002480345,0.039128545,0.004747986,,
10/02/2008 06:04,0.007306709,0.02829321,0.123835095,-0.064660005,,
10/02/2008 18:04,0.007872022,0.015988458,0.073574473,0.066023116,,
11/02/2008 06:04,0.04199805,0.005103481,0.113989136,0.052238494,,
23/02/2008 06:07,0.032429601,0.078973701,1.089156221,-0.279902589,,
